"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2023","29,353.5","29,788.9","30,337.0","28,890.7","245.08K","-1.46%"
"07/16/2023","29,788.9","30,291.8","30,435.0","29,621.4","253.92K","-1.66%"
"07/09/2023","30,291.4","30,288.8","31,764.5","29,944.3","429.51K","0.01%"
"07/02/2023","30,288.8","30,587.1","31,463.6","29,757.4","347.61K","-0.97%"
"06/25/2023","30,586.8","30,533.6","31,275.5","29,714.5","489.67K","0.17%"
"06/18/2023","30,533.6","26,515.0","31,395.4","26,290.6","595.01K","15.16%"
"06/11/2023","26,515.0","25,843.3","26,767.3","24,838.0","403.42K","2.60%"
"06/04/2023","25,844.0","27,070.9","27,410.2","25,425.6","392.44K","-4.54%"
"05/28/2023","27,072.0","26,855.3","28,431.2","26,541.3","364.20K","0.80%"
"05/21/2023","26,857.5","27,116.2","27,448.1","25,892.5","326.61K","-0.95%"
"05/14/2023","27,116.2","26,777.4","27,651.7","26,449.8","318.29K","1.27%"
"05/07/2023","26,777.5","28,857.1","29,122.0","25,853.1","501.86K","-7.21%"
"04/30/2023","28,857.1","29,235.1","29,941.3","27,685.9","479.52K","-1.29%"
"04/23/2023","29,234.1","27,813.8","29,995.7","27,054.3","594.98K","5.11%"
"04/16/2023","27,813.9","30,299.2","30,545.3","27,165.7","583.96K","-8.20%"
"04/09/2023","30,299.6","27,941.2","30,964.9","27,809.2","544.03K","8.44%"
"04/02/2023","27,941.2","28,456.1","28,744.4","27,256.9","397.27K","-1.81%"
"03/26/2023","28,456.1","27,474.9","29,160.4","26,611.5","684.10K","3.57%"
"03/19/2023","27,475.6","26,914.5","28,760.3","26,668.7","1.98M","2.09%"
"03/12/2023","26,914.1","20,465.0","27,742.2","20,294.2","4.38M","31.50%"
"03/05/2023","20,467.5","22,347.1","22,636.7","19,591.8","2.75M","-8.41%"
"02/26/2023","22,347.1","23,166.1","23,914.1","22,051.9","1.99M","-3.54%"
"02/19/2023","23,166.1","24,631.3","25,236.8","22,777.4","2.61M","-5.95%"
"02/12/2023","24,631.4","21,859.9","25,233.8","21,418.7","2.81M","12.68%"
"02/05/2023","21,859.8","23,326.9","23,425.1","21,491.7","2.23M","-6.28%"
"01/29/2023","23,323.8","23,023.5","24,207.2","22,560.0","2.36M","1.28%"
"01/22/2023","23,027.9","22,775.7","23,779.0","22,323.0","2.25M","1.11%"
"01/15/2023","22,775.7","20,956.0","23,304.5","20,448.3","2.28M","8.67%"
"01/08/2023","20,958.2","16,943.6","21,185.6","16,913.8","2.44M","23.69%"
"01/01/2023","16,943.6","16,537.5","17,012.3","16,499.7","1.31M","2.46%"
